Customer_ID,Customer_Name,Age,Gender,City,Occupation,Income,Credit_Score,Customer_Tenure,Risk_Category,Online_Banking_Status
83,Robert Anderson,49,Female,Pune,Manager,2945535.54,663,2,Medium,Inactive
84,Melissa Lowe,54,Male,Delhi,Manager,985664.11,678,3,High,Active
85,Robert Kramer,24,Male,Hyderabad,Teacher,1158144.21,459,13,Medium,Active
86,Kirsten Wolfe,63,Female,Pune,Teacher,727876.77,573,8,Medium,Active
87,Nicholas Johns,47,Female,Kolkata,Teacher,972504.14,684,7,Medium,Inactive
88,Carmen Woods,24,Male,Ahmedabad,Doctor,2360602.21,568,1,High,Active
89,Jessica Bullock,60,Female,Kolkata,Analyst,1499642.57,338,10,Low,Active
90,Daniel Joseph,32,Male,Bangalore,Business,643327.95,385,15,Low,Inactive
91,Lucas Smith,27,Female,Kolkata,Analyst,1146648.99,580,9,Medium,Inactive
92,Jennifer Lee,60,Female,Chennai,Manager,2791009.5,605,15,Low,Active
93,Richard Mueller,25,Female,Hyderabad,Business,280069.14,792,8,Low,Inactive
94,Belinda Cox,29,Female,Chennai,Analyst,2150618.6,694,15,High,Active
95,Linda Howell,31,Male,Delhi,Analyst,2661587.61,579,14,Low,Active
96,John Vasquez,60,Male,Mumbai,Manager,2622723.83,773,1,Medium,Inactive
97,Christopher Mata,23,Male,Bangalore,Engineer,1186304.11,568,2,Low,Active
98,Jennifer Fisher,55,Female,Bangalore,Doctor,1349788.4,679,5,Low,Inactive
99,Angela Barry,18,Female,Pune,Teacher,899398.63,772,10,High,Active
100,Heather Peterson,64,Female,Bangalore,Engineer,2707841.32,723,13,Medium,Active
101,Nathan Bolton,41,Female,Kolkata,Analyst,877971.05,469,10,High,Active
102,Steven Harris,56,Male,Hyderabad,Engineer,1676561.76,695,2,Medium,Active
103,Joseph Santiago,58,Female,Chennai,Manager,1451106.05,385,4,Medium,Inactive
104,Stephen Ramos,18,Female,Bangalore,Business,372227.19,513,5,Low,Inactive
105,Ashley Schmidt,48,Female,Delhi,Analyst,2066127.43,459,14,Low,Inactive
106,David Jones,38,Female,Ahmedabad,Doctor,2474760.52,785,3,High,Inactive
107,Angela Harrison,47,Female,Delhi,Business,1117916.29,417,15,Medium,Active
108,Jonathon Walker,70,Male,Delhi,Engineer,2555526.2,841,6,Low,Inactive
109,Deanna Barrett,50,Female,Pune,Business,1735240.66,469,12,High,Inactive
110,Michael Torres,39,Female,Bangalore,Engineer,678137.58,411,12,High,Active
111,Timothy Garner,67,Female,Hyderabad,Analyst,1336425.39,573,14,High,Inactive
112,Sherry Evans,44,Male,Kolkata,Doctor,305064.73,800,9,High,Inactive
113,Beth Burton,19,Male,Kolkata,Business,706276.72,508,1,Low,Active
114,Stephen Brown,27,Female,Pune,Manager,892516.65,489,14,Medium,Active
115,Vanessa Carey,60,Male,Ahmedabad,Doctor,2392682.29,584,7,High,Active
116,Debra Rivers,49,Female,Ahmedabad,Manager,382553.85,838,6,Medium,Inactive
117,Kenneth Santiago,60,Male,Mumbai,Analyst,2718984.04,528,7,Low,Inactive
118,Nancy Medina,41,Female,Kolkata,Doctor,359676.65,647,2,Medium,Inactive
119,Penny Pugh,66,Female,Bangalore,Business,406924.65,671,15,High,Active
120,Heather Mcguire,46,Female,Mumbai,Manager,343781.54,639,11,High,Inactive
121,Michael Brown,21,Male,Delhi,Analyst,1374175.12,433,4,High,Active
122,Jacob Wilson,21,Female,Bangalore,Analyst,2526780.42,809,1,Medium,Active
123,Lawrence Hanson,46,Male,Ahmedabad,Engineer,1684133.15,769,1,Low,Inactive
124,Elizabeth Campbell,38,Female,Chennai,Doctor,685884.32,766,10,Medium,Inactive
125,David Ramirez,41,Female,Chennai,Teacher,299733.67,559,2,Low,Active
126,Jeremy Swanson,39,Female,Ahmedabad,Analyst,2314380.59,406,3,Medium,Active
127,Jamie Hardy,58,Female,Mumbai,Analyst,1394498.5,436,1,Low,Inactive
128,Michael Hale,48,Male,Ahmedabad,Engineer,2910704.53,384,1,High,Inactive
129,Tammy Reed,62,Female,Mumbai,Business,2214455.28,588,1,Medium,Active
130,Debra Wells,47,Female,Ahmedabad,Teacher,304926.29,571,10,High,Inactive
131,Sandy Yoder,18,Female,Hyderabad,Teacher,1832093.7,499,10,Low,Inactive
132,Marvin Short,55,Male,Hyderabad,Manager,2978715.16,455,14,High,Active
133,Anne Anderson,52,Male,Hyderabad,Analyst,2820156.75,787,10,Medium,Active
134,Joshua Boyd,18,Female,Hyderabad,Teacher,818073.53,348,11,Low,Active
135,Wayne Wright,38,Male,Mumbai,Manager,2660397.8,435,7,High,Active
136,James Parrish,69,Male,Pune,Doctor,2674948.19,667,13,Medium,Active
137,Michael Simon,61,Female,Delhi,Doctor,278798.44,783,14,High,Active
138,Mary Mcdonald,63,Female,Chennai,Analyst,2889528.24,315,15,High,Active
139,Brian Davis,62,Female,Bangalore,Engineer,2778192.31,630,5,Medium,Inactive
140,Karen Grant,19,Male,Chennai,Teacher,532108.33,326,8,High,Inactive
141,Danny Jarvis,32,Female,Kolkata,Analyst,689111.32,804,3,Low,Active
142,Mark Melendez,53,Male,Hyderabad,Analyst,1072755.84,649,4,Medium,Active
143,Mr. Spencer Young,63,Female,Ahmedabad,Teacher,814512.2,638,8,Medium,Active
144,Bradley Palmer,39,Male,Delhi,Manager,2788664.98,547,2,Low,Active
145,Deborah Long,68,Male,Chennai,Doctor,1013170.73,727,5,High,Inactive
146,Jillian Santos,29,Female,Bangalore,Manager,549981.83,744,4,High,Inactive
147,Tiffany Todd,34,Male,Ahmedabad,Teacher,2044492.65,354,13,High,Active
148,Larry Davis,58,Male,Mumbai,Teacher,1560729.85,845,2,Low,Active
149,Richard Johnston,67,Male,Mumbai,Teacher,964613.12,533,15,Low,Active
150,Catherine Davis,29,Male,Mumbai,Teacher,2898347.95,733,11,Medium,Inactive
151,James Scott,42,Male,Chennai,Analyst,2010291.62,696,5,Medium,Active
152,Beverly Moore,31,Male,Hyderabad,Analyst,1880064.55,479,9,High,Inactive
153,Matthew Orr,49,Female,Mumbai,Engineer,670159.93,353,7,High,Active
154,Cathy Thompson,47,Female,Chennai,Business,2813658.52,748,6,High,Active
155,Matthew Cowan,42,Female,Chennai,Business,1344599.22,586,1,Medium,Active
156,Beverly Strickland,57,Female,Pune,Manager,415091.56,323,6,Medium,Inactive
157,Jerry Patton,49,Male,Ahmedabad,Manager,2603400.1,423,7,Low,Active
158,John Turner,59,Male,Pune,Teacher,1898672.05,808,1,High,Inactive
159,Lance Mayer,50,Male,Ahmedabad,Doctor,1360478.98,370,11,High,Active
160,Steven Wilson,40,Male,Chennai,Doctor,2218068.19,514,7,Low,Active
161,Anthony Turner,29,Male,Kolkata,Manager,2288423.08,503,4,Low,Inactive
162,Christian Alvarado,27,Female,Chennai,Doctor,1677025.45,435,15,Medium,Inactive
163,Bonnie Hamilton,33,Male,Pune,Teacher,2220545.23,564,1,Medium,Active
164,Frank Wallace,55,Female,Bangalore,Engineer,1776855.14,464,6,Low,Active
165,Carla Hicks,32,Male,Bangalore,Teacher,2181987.65,541,7,High,Inactive
166,Kathy Gomez,38,Male,Delhi,Engineer,787424.46,558,7,Medium,Active
167,Sean Lang,50,Male,Chennai,Teacher,1238818.2,538,4,Low,Active
168,Eric Odonnell,64,Female,Hyderabad,Doctor,2880206.0,478,8,High,Active
169,Vernon Williams,33,Male,Chennai,Analyst,1277107.84,734,6,Medium,Inactive
170,Kristina Todd,31,Female,Chennai,Engineer,2844227.88,603,14,Medium,Active
171,Amber Clay,58,Male,Mumbai,Business,900133.22,693,9,Low,Inactive
172,Brittany Shah,65,Female,Chennai,Doctor,2887526.06,587,15,Low,Active
173,Samuel Young,43,Female,Kolkata,Analyst,2024138.15,522,9,Medium,Active
174,Ralph Simpson,48,Female,Pune,Doctor,2104378.96,320,1,Low,Active
175,Michael Hayes,25,Female,Mumbai,Analyst,1666005.31,796,3,Medium,Inactive
176,Leslie Bolton,20,Male,Kolkata,Engineer,2430617.43,606,8,High,Active
177,Christopher Jenkins,54,Male,Bangalore,Manager,1776041.14,612,8,High,Active
178,Judy Roberts DDS,60,Female,Kolkata,Business,2690852.63,318,11,High,Inactive
179,Eric Sanchez,49,Female,Kolkata,Analyst,1108242.49,478,9,Low,Active
180,John Elliott,45,Female,Chennai,Teacher,465155.54,652,13,High,Active
181,Lisa Blake,69,Male,Bangalore,Business,1230836.58,381,3,Low,Inactive
182,Christopher Solomon,34,Female,Kolkata,Engineer,1463225.47,548,1,Low,Inactive
183,Joshua Barber,19,Female,Pune,Teacher,1565914.89,795,12,Medium,Active
184,Ashley Bryant,38,Female,Chennai,Doctor,1929452.08,632,10,Low,Inactive
185,Lori Ortiz,52,Female,Mumbai,Engineer,289605.82,680,15,High,Active
186,Danielle Bell,33,Male,Ahmedabad,Analyst,982417.62,534,4,Medium,Inactive
187,Elizabeth Payne,48,Female,Pune,Engineer,2006764.87,699,12,High,Active
188,Allison Jordan,34,Male,Ahmedabad,Doctor,1458159.6,404,10,High,Active
189,James Miller,38,Female,Delhi,Teacher,2149728.99,759,4,High,Inactive
190,Joseph Wilson,27,Female,Pune,Engineer,1220972.78,406,1,Low,Active
191,Jeffrey Washington,31,Female,Chennai,Business,2183129.41,315,14,High,Active
192,Scott Morgan,53,Female,Chennai,Manager,2528704.01,633,13,Low,Inactive
193,Kayla Perez,19,Male,Kolkata,Analyst,1231451.61,368,15,High,Inactive
194,Angela Adams,64,Male,Hyderabad,Manager,2477480.02,614,12,Low,Inactive
195,Sylvia Williams,57,Female,Pune,Analyst,604021.89,518,8,Low,Active
196,Michele King,64,Male,Chennai,Analyst,1847040.71,691,7,Medium,Inactive
197,Amy Herrera,20,Male,Mumbai,Engineer,2004509.99,726,14,High,Inactive
198,Christopher Brady,68,Female,Delhi,Doctor,1306558.75,376,7,Medium,Active
199,Joseph Williams,48,Male,Kolkata,Business,1414741.85,614,12,High,Inactive
200,Raymond Cunningham,21,Female,Bangalore,Teacher,1178787.47,640,15,Low,Inactive
201,Matthew Singleton,68,Male,Hyderabad,Business,2341157.15,685,5,Low,Inactive
202,John Miller,48,Female,Ahmedabad,Business,2963589.9,398,1,Medium,Active
203,Nathan Green,20,Female,Pune,Teacher,404833.6,308,9,Low,Inactive
204,Karen Cross,36,Male,Mumbai,Analyst,2811120.07,480,3,Low,Inactive
205,William Parker,43,Female,Bangalore,Engineer,2599903.03,582,11,Medium,Inactive
206,Kevin Ford,30,Male,Pune,Teacher,1905590.31,458,14,Low,Active
207,Jeffery Ramos,45,Male,Mumbai,Doctor,302006.39,739,9,Low,Inactive
208,James Wade,67,Male,Delhi,Teacher,1788857.35,530,3,Low,Inactive
209,Melissa Robinson,53,Male,Chennai,Engineer,2472965.37,463,1,Low,Active
210,Edward Horn,38,Female,Kolkata,Business,1355440.54,310,7,Low,Inactive
211,Beth Johnson,27,Male,Ahmedabad,Business,1146315.92,828,11,Low,Inactive
212,William Carter,40,Male,Hyderabad,Analyst,1776840.54,549,13,High,Inactive
213,Steven Johnson,46,Male,Pune,Manager,702438.77,688,9,Medium,Active
214,Judy Valdez,67,Male,Mumbai,Business,2659483.43,419,12,Low,Active
215,Debra Hawkins,49,Male,Pune,Manager,1741114.18,641,11,Low,Inactive
216,David Hernandez,54,Male,Ahmedabad,Business,1727362.64,342,7,Medium,Inactive
217,Logan Thomas,42,Female,Delhi,Doctor,1139717.38,533,12,Medium,Inactive
218,Natasha Howard,70,Female,Ahmedabad,Analyst,1996276.37,638,8,High,Active
219,David George,30,Female,Kolkata,Engineer,1490029.92,575,2,Medium,Active
220,Edwin Moore,19,Male,Delhi,Doctor,445932.26,475,14,Medium,Inactive
221,Jennifer Weber,49,Female,Ahmedabad,Business,795434.55,641,14,Low,Active
222,Linda Jordan,36,Female,Bangalore,Engineer,2583125.87,737,11,Medium,Active
223,Alicia James,39,Male,Hyderabad,Business,968592.14,724,4,Low,Inactive
224,Nicole Anderson,18,Male,Hyderabad,Engineer,1802577.43,410,7,Low,Active
225,Breanna Osborne,65,Female,Kolkata,Doctor,652866.94,593,3,Low,Active
226,Brett Smith,49,Male,Delhi,Teacher,929431.62,486,11,Medium,Active
227,Samantha Lynn,58,Male,Kolkata,Teacher,2823564.24,686,10,Medium,Inactive
228,Mariah Gonzalez,55,Male,Chennai,Doctor,2601725.08,319,9,High,Active
229,Arthur Walker,25,Female,Delhi,Business,2039095.44,342,7,High,Active
230,Casey Lewis,70,Male,Bangalore,Engineer,2877444.76,832,6,Medium,Inactive
231,Jason Gomez,35,Female,Bangalore,Business,1864880.09,659,10,High,Active
232,Sara Murphy,54,Female,Bangalore,Doctor,2529078.0,481,14,Low,Active
233,Mark Harris,37,Female,Kolkata,Analyst,1592648.0,325,10,Medium,Active
234,Gregory Knight,22,Female,Hyderabad,Business,1781398.95,416,8,Low,Inactive
235,Joshua Miller,64,Female,Ahmedabad,Business,2584641.39,847,12,High,Active
236,Jorge Lloyd,62,Male,Kolkata,Business,2393253.94,675,12,High,Inactive
237,Cassandra Collier,62,Female,Pune,Teacher,1748951.98,434,4,Low,Inactive
238,Roberto Duran,37,Male,Pune,Doctor,2608383.53,373,7,Medium,Active
239,Mark Powell,59,Female,Delhi,Manager,385517.05,739,15,Medium,Active
240,Sierra Bennett,42,Female,Mumbai,Manager,1201933.29,710,8,High,Inactive
241,Seth Foster,59,Male,Mumbai,Engineer,2987126.53,534,14,Medium,Inactive
242,Henry Miller,45,Female,Delhi,Engineer,2639800.32,659,6,Medium,Inactive
243,April Stout,21,Male,Kolkata,Business,2891904.57,425,6,High,Inactive
244,Jason Morris,62,Male,Mumbai,Engineer,1043770.45,366,10,Low,Active
245,Christopher Thomas,62,Male,Chennai,Analyst,1387584.08,759,12,Medium,Inactive
246,Reginald Fowler,53,Male,Hyderabad,Engineer,1115796.04,443,11,Low,Inactive
247,Nicolas Hardin,45,Male,Pune,Manager,1482657.97,651,9,Medium,Inactive
248,Brandon Murphy,31,Female,Kolkata,Manager,2334086.23,748,11,High,Active
249,John Arroyo PhD,29,Male,Kolkata,Business,2323629.81,369,5,Low,Active
250,Heather Smith,23,Female,Delhi,Doctor,2604508.32,704,2,Medium,Active
251,Matthew Williams,31,Male,Chennai,Teacher,473135.93,516,12,High,Inactive
252,Lori Summers,64,Male,Chennai,Manager,1379995.29,589,9,Low,Inactive
253,Tina Delgado,61,Male,Bangalore,Doctor,560851.43,418,4,Low,Active
254,Kelsey Day,19,Male,Pune,Manager,2987486.55,480,14,High,Active
255,Derek Johnston,58,Female,Hyderabad,Engineer,620176.32,639,2,High,Active
256,Michael Nelson,69,Female,Mumbai,Engineer,2301563.11,506,11,High,Inactive
257,Cathy Salazar,61,Female,Mumbai,Engineer,2559379.14,831,11,High,Active
258,Derek Francis,67,Female,Chennai,Analyst,2817693.87,816,12,Medium,Active
259,Mrs. Brittney Contreras,68,Female,Bangalore,Analyst,2655978.58,464,1,High,Inactive
260,Stephanie Brown,56,Male,Hyderabad,Teacher,2197160.95,583,2,High,Inactive
261,Kayla Sims,35,Male,Hyderabad,Teacher,2871201.89,528,5,Low,Active
262,Nathaniel Miller,65,Male,Hyderabad,Teacher,693301.05,826,4,Medium,Inactive
263,Donald Nguyen,18,Male,Bangalore,Manager,1187017.6,479,12,Medium,Inactive
264,Daniel Farmer,48,Male,Pune,Engineer,2702751.0,530,10,Medium,Active
265,Christopher Green,67,Female,Hyderabad,Teacher,1943977.53,759,11,Medium,Active
266,Justin Wilson,46,Female,Hyderabad,Manager,683197.09,759,6,Low,Active
267,Anthony Ward,55,Female,Kolkata,Analyst,1033279.64,327,9,Low,Active
268,Sara Tucker,70,Male,Chennai,Engineer,2100402.31,522,9,Low,Active
269,Candace Brown,36,Male,Mumbai,Doctor,1937436.78,565,2,High,Active
270,Rodney Munoz Jr.,31,Female,Kolkata,Analyst,2027684.22,608,3,Medium,Inactive
271,Steven Carr,52,Male,Bangalore,Manager,534750.73,609,6,Low,Inactive
272,Jason Adams,26,Male,Hyderabad,Engineer,1679716.04,742,10,Medium,Active
273,Kelly Roman,47,Female,Bangalore,Doctor,1939770.11,308,13,Medium,Active
274,Caitlyn Sims,35,Male,Bangalore,Engineer,2010328.65,669,4,High,Inactive
275,Matthew Barrera,33,Female,Chennai,Manager,2876133.38,841,2,Medium,Active
276,Gregory Powell,68,Female,Pune,Doctor,1171587.45,325,15,High,Active
277,Erin Jones,56,Male,Chennai,Doctor,2621104.46,307,5,Medium,Active
278,Michelle Johnson,59,Male,Delhi,Business,2428309.09,620,15,Medium,Inactive
279,Stephanie Gonzalez,20,Male,Hyderabad,Analyst,2460364.55,695,10,High,Inactive
280,Kaitlin Arnold,55,Female,Mumbai,Business,975565.24,742,8,Medium,Inactive
281,Carol Patel,26,Female,Delhi,Doctor,2382692.65,786,5,Medium,Inactive
282,Ricky Farley,22,Female,Pune,Analyst,1459508.3,734,14,Medium,Inactive
283,Vicki Andrews,69,Male,Pune,Engineer,2351432.07,486,4,Low,Active
284,Sharon Jackson,34,Female,Delhi,Analyst,2978008.72,688,3,Low,Inactive
285,Paul Johnson,37,Male,Bangalore,Analyst,2859700.83,562,12,Low,Inactive
286,Rebecca Evans,58,Male,Kolkata,Analyst,2806530.2,587,8,Low,Inactive
287,Jennifer Mitchell,25,Female,Kolkata,Engineer,1180434.75,834,1,Low,Inactive
288,Kelsey Matthews,68,Male,Bangalore,Business,2575450.73,530,9,Low,Inactive
289,Lori Johnson,21,Female,Delhi,Business,2685023.44,788,15,Low,Active
290,Jacqueline Lewis,28,Male,Chennai,Doctor,1102267.34,649,15,High,Inactive
291,Anthony Roberts,56,Female,Chennai,Teacher,2286703.39,587,12,High,Inactive
292,Joseph Gutierrez,58,Male,Delhi,Manager,2467681.93,379,5,High,Active
293,Thomas Baker DDS,31,Female,Bangalore,Analyst,726568.45,726,14,Medium,Inactive
294,Theresa Barnes,39,Male,Mumbai,Doctor,842618.38,564,1,Low,Active
295,Christopher Gonzales DVM,63,Male,Bangalore,Manager,1926690.59,360,3,Medium,Inactive
296,Victoria Sosa,38,Female,Kolkata,Doctor,1612058.61,430,4,Low,Active
297,Benjamin Alvarado,37,Female,Kolkata,Analyst,260347.61,467,10,Medium,Active
298,Matthew Collins,42,Male,Bangalore,Manager,482906.03,486,2,High,Active
299,Carolyn Flowers,70,Female,Ahmedabad,Business,1410830.65,394,14,Low,Active
300,Tina Duffy PhD,47,Male,Chennai,Manager,1678977.12,572,2,Medium,Inactive
301,Sean Peck,21,Female,Kolkata,Business,2835011.0,376,10,Medium,Active
302,David Norris,34,Female,Delhi,Manager,640558.87,754,6,Medium,Inactive
303,Christopher Navarro,25,Male,Pune,Doctor,1897924.59,460,14,Low,Inactive
304,John Navarro,42,Female,Bangalore,Doctor,2682027.1,822,1,Low,Active
305,Andrea Clay,30,Male,Mumbai,Doctor,2674365.7,508,10,Medium,Inactive
306,Maria Ingram,18,Male,Kolkata,Engineer,1077617.8,681,12,Low,Active
307,Adam Spence,23,Male,Bangalore,Analyst,1517862.37,407,6,High,Inactive
308,Julie Greene,62,Male,Delhi,Business,521402.61,347,9,High,Inactive
309,Angela Diaz,65,Female,Chennai,Engineer,1487137.72,447,7,Medium,Active
310,Timothy Smith,36,Female,Hyderabad,Engineer,2294102.77,731,4,High,Active
311,Stephen Davenport,43,Female,Hyderabad,Teacher,1650444.36,327,10,High,Inactive
312,Jason Hernandez,65,Male,Hyderabad,Manager,1324993.94,304,12,Medium,Active
313,Timothy Wilson,29,Male,Chennai,Analyst,1230154.4,447,15,Medium,Active
314,Mary Taylor,45,Male,Ahmedabad,Doctor,671504.75,719,8,Low,Active
315,Shawn Walters,66,Male,Ahmedabad,Manager,2692852.56,512,6,Low,Active
316,David Stone,57,Female,Delhi,Teacher,2142309.7,748,4,Low,Inactive
317,Robin Hunter,22,Female,Mumbai,Doctor,2726460.51,489,2,High,Active
318,Lauren Kennedy,25,Male,Chennai,Doctor,546907.01,570,15,Low,Active
319,Craig Johnson,36,Female,Pune,Business,1068998.43,817,11,Low,Active
320,Kelly Allen,41,Female,Hyderabad,Doctor,441861.16,841,5,Low,Inactive
321,Cody Moore,35,Male,Delhi,Analyst,2909585.84,447,1,Medium,Inactive
322,Brenda Foley,41,Male,Delhi,Engineer,2566530.27,535,4,High,Inactive
323,Ryan Davis,33,Female,Kolkata,Business,1902198.69,769,10,Low,Active
324,Kathleen Garcia,41,Female,Ahmedabad,Teacher,1777096.54,800,11,Low,Inactive
325,Andrew Fletcher,50,Female,Hyderabad,Engineer,2202580.7,505,8,Medium,Inactive
326,Linda Thomas,53,Female,Chennai,Manager,802488.83,302,3,High,Active
327,Gregory Dominguez,28,Male,Delhi,Teacher,934014.17,309,15,High,Inactive
328,Kristina Salazar,50,Male,Mumbai,Engineer,1747112.11,824,4,High,Inactive
